X,Z
2.28,364.755
2.23,364.705
2.18,364.68
2.135,364.675
2.085,364.7
2.035,364.71
1.985,364.71
1.935,364.69
1.885,364.68
1.84,364.68
1.79,364.685
1.74,364.7
1.69,364.72
1.64,364.74
1.59,364.735
1.545,364.715
1.495,364.715
1.445,364.725
1.395,364.715
1.345,364.695
1.3,364.69
1.25,364.695
1.2,364.715
1.15,364.715
1.1,364.71
1.05,364.72
1.005,364.73
0.955,364.725
0.905,364.725
0.855,364.725
0.805,364.715
0.76,364.71
0.71,364.705
0.66,364.695
0.61,364.7
0.56,364.73
0.51,364.755
0.46,364.75
0.415,364.735
0.365,364.715
0.315,364.715
0.265,364.73
0.215,364.72
0.17,364.72
0.12,364.735
0.07,364.745
0.02,364.735
-0.03,364.71
-0.08,364.71
-0.125,364.725
-0.175,364.725
-0.225,364.71
-0.275,364.71
-0.325,364.72
-0.37,364.73
-0.42,364.725
-0.47,364.73
-0.52,364.74
-0.57,364.76
-0.62,364.77
-0.665,364.755
-0.715,364.755
-0.765,364.765
-0.815,364.76
-0.865,364.765
-0.91,364.755
-0.96,364.73
-1.01,364.715
-1.06,364.705
-1.11,364.72
-1.16,364.73
-1.205,364.71
-1.255,364.695
-1.305,364.71
-1.355,364.725
-1.405,364.715
-1.45,364.725
-1.5,364.755
-1.55,364.76
-1.6,364.755
-1.65,364.745
-1.7,364.715
-1.75,364.7
-1.795,364.735
-1.845,364.755
-1.895,364.735
-1.945,364.725
-1.995,364.74
-2.04,364.77
